,index,statement_id,label,statement,subject,speaker,speaker_job_title,state_info,party_affiliation,barely_true_counts,false_counts,half_true_counts,mostly_true_counts,pants_on_fire_counts,context,extracted_justification
1674,392,9784.json,true,On offshore drilling for energy,"energy,voting-record",mark-warner,U.S. Senator,Virginia,democrat,3.0,1.0,6.0,3.0,0.0,,"Warners record is consistent: He supports offshore drilling but insists that states, including Virginia, receive royalties for oil and natural gas extracted off their coasts."
1694,412,348.json,true,"Hillary Clinton ""starts off with 47 percent of the country against her.""",elections,barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,"a campaign rally in Alexandria, Va.","Obama's unfavorable ratings tend to be well under 40 percent. In several polls, his unfavorable ratings are in the 20s. Not every poll rates her unfavorables consistently as high as 47 percent, and poll numbers are always a little bit squishy. But, the     USA Today    /Gallup Poll has polled often on Clinton's unfavorables, and the average of 21 polls puts her negatives at 47 percent."
1697,415,5803.json,true,Says legislative cuts mean Texas is spending on average $500 less per student.,"education,state-budget",donna-howard,Texas House Representative,Texas,democrat,1.0,0.0,1.0,2.0,0.0,remarks at a Texas Capitol rally,"Howards statement is about the effect of two major legislative actions on public school funding. By every measure we found and one that we ginned up, those actions resulted in a per-student funding reduction of at least $500. We think its significant that those figures represent averages  a fact that Howard noted in her rally remarks. That means some districts were likely to be hit harder, others less hard, especially by the legislated cuts to grants, which are not distributed uniformly to districts."
1721,439,5279.json,true,"Today, for the first time in fifteen years, Master Locks unionized plant in Milwaukee is running at full capacity.","jobs,trade",barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,the State of the Union speech,"We are also investing in training and working with area technical colleges and universities to find and equip skilled workers. ""Our conclusion    Obama singled out Master Lock saying the company brought back outsourced jobs and is operating at capacity for the first time in 15 years. Thats the same thing Master Lock executives said more than a year ago, and theyve continued to add jobs and said they would continue to do so. It also tracks with their efforts to attract a more highly skilled work force to run an updated operation."
1722,440,13006.json,true,Tom Reed has actually voted for every single trade deal that has ever come before him in any form.,"jobs,trade",john-plumb,Candidate for Congress,New York,democrat,0.0,0.0,0.0,0.0,0.0,an interview on Capital Tonight.,"In an interview, Plumb said Reed ""has actually voted for every single trade deal that has ever come before him in any form. ""Congress has voted on three trade agreements with other nations since Reed took office in 2011, and a look at the roll calls confirmed he voted for each one. Reed did vote to reauthorize the Export-Import bank. But Plumb got it right when he said the congressman voted for the trade agreements."
1735,453,779.json,true,"Senator McCain has been talking tough about earmarks, and that's good, but earmarks account for about $18-billion of our budget.",federal-budget,barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,"a debate in Nashville, Tenn.","Another report found that appropriations bills in fiscal year 2008 included $16. 5 billion for earmarks. Those numbers are lower than previous years because earmarking dropped considerably following the congressional lobbying scandals of 2005 and 2006. But even at their peak in 2005, when earmarks hit $52-billion, according to the Congressional Research Service and the OMB, that was only 16 percent of that years deficit of $318-billion. The numbers show Obama gets his earmark number correct."
1738,456,8637.json,true,We pay among the highest tolls in the nation for the privilege of crossing that bridge.,transportation,loretta-weinberg,State Senator,,democrat,1.0,2.0,0.0,1.0,0.0,an interview on the John Gambling radio program,"Weinberg said recently about the George Washington Bridge, ""We pay among the highest tolls in the nation for the privilege of crossing that bridge. ""The highest bridge toll in the region belongs to the MTA-operated Verrazano-Narrows Bridge, at $15, but the George Washington span and three others are close behind, at $13. Major toll bridges elsewhere in the country arent even close, save for the 17-mile Chesapeake Bay Bridge Tunnel, whose $13 toll will jump to $15 on Jan.  1. Experts we spoke with cite varying factors for why the George Washington Bridges toll costs what it does, but the bottom line is that Weinbergs assessment about where the cost ranks nationwide is accurate."
1745,463,498.json,true,"McCain ""hired some of the biggest lobbyists in Washington to run his campaign.""","elections,ethics",barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,"Tampa, Fla.","Okay, so McCain has clearly set a policy that forbids current federal lobbyists from drawing a campaign paycheck and campaign officials say they are in full compliance with that. But the policy comes more than a year into the campaign. Current lobbyists hired by the campaign may have now been purged, but the fact is they were hired."
1750,468,2094.json,true,House Republicans who complained they didnt have enough time to consider a constitutional ban against oil drilling shoved through a proposal in just a few days to open state waters to oil drilling.,"energy,environment,oil-spill",alex-sink,,Florida,democrat,1.0,2.0,2.0,4.0,0.0,remarks to reporters.,"The special session to consider the oil drilling constitutional amendment was scheduled to last four days. Of course, it lasted just a few hours. In chastising Republican lawmakers, state CFO Alex Sink said the House ""shoved through a proposal in just a few days to open state waters to oil drilling. ""It took House lawmakers just five working days from first seeing the bill to passing it."
1771,489,8141.json,true,"Says nearly 29,000 Oregonians almost 5 percent of all homeowners are 90 days or more delinquent on their mortgage.",housing,ellen-rosenblum,,,democrat,1.0,0.0,0.0,0.0,0.0,an opinion article,"However, CoreLogics data is the same data used by the federal reserve. If its good enough for them, we figure its good enough for us. In introducing a revised mediation program, Rosenblum wrote that the housing crash lingers and that nearly 5 percent of all homeowners are more than 90 days delinquent on their mortgage. We verified that her figures were right and that 5 percent does, indeed, represent a number well above what wed experience before the recession."
1811,529,6308.json,true,Says New Hampshire has the third-highest property tax in the country.,"corrections-and-updates,taxes",jackie-cilley,Marketing,New Hampshire,democrat,0.0,0.0,0.0,0.0,0.0,a statement during a candidates forum at Nashua City Hall,"Using Census data, the leading tax advocacy organizations show that New Hampshire ranks third, behind only Connecticut and New Jersey, in property tax charges. Its worth noting, though, that Cilley does not paint a full picture of the Granite States overall tax landscape. Looking at overall tax burden, New Hampshire residents fund the government with a relatively low percentage of their incomes in comparison to other states."
1812,530,724.json,true,"Obama's tax plan cuts taxes ""for 95 percent of all working families.""",taxes,barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,"Elko, Nev.","IRS data show that 97 percent of tax filers make less than $200,000, so there are even two percentage points worth of leeway there. UPDATE:    Since we published this item, the Tax Policy Center researched how Obama's tax proposals would affect workers. They concluded 94. 3 percent of workers would receive a tax cut under Obama's plan;     read their research here    ."
1833,551,5659.json,true,"Last year, Exxon pocketed nearly $4.7 million every hour.","corporations,energy",barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,a speech in the Rose Garden,"We have dinged politicians for inaccurately characterizing the companys taxes. )The company has a point that Obamas statistic doesn't detail the oil company's expenses. As a simple snapshot of Exxons 2011 profit, his arithmetic is right on target."
1841,559,4659.json,true,On letting Occupy Atlanta protesters stay in Woodruff Park.,"occupy-wall-street,public-safety",kasim-reed,,,democrat,1.0,0.0,5.0,7.0,1.0,statements to the public,City code required that the first order expire Oct.  17. The order does not say protesters would be removed after that date. Reeds office said three days before then that it was not a firm deadline for protesters to leave the park.
1871,589,2089.json,true,Maurice Ferre says Kendrick Meek has voted 98.6 percent of the time with the Democrat party.,voting-record,maurice-ferre,Former mayor of Miami,Florida,democrat,1.0,0.0,1.0,0.0,0.0,an editorial meeting.,"Similarly, Graham's percentages between 1991 and 2002 ranged from 81. 8 percent to 92. 9 percent. The Washington Post database keeps records back until 1991. Chiles left the U. S.  Senate in 1989."
1885,603,486.json,true,"McCain sought the political support of minister John Hagee, ""who believes Hurricane Katrina was God's punishment for gay rights and called the Catholic Church 'the Antichrist' and a 'false cult.'""",religion,moveon,,,democrat,2.0,4.0,3.0,0.0,0.0,an e-mail message,"(Listen to the     audio here    . )McCain said Hagee's comments were ""deeply offensive and indefensible,"" and ""I did not know of them before Reverend Hagee's endorsement, and I feel I must reject his endorsement as well. ""Hagee, meanwhile, issued a statement saying that he was withdrawing his endorsement and that critics were distorting his views. ""I am tired of these baseless attacks and fear that they have become a distraction in what should be a national debate about important issues,"" Hagee said on May 22, 2008."
1891,609,10711.json,true,Wisconsins attorney general and state treasurer ordered the daughter of Earth Day founder Gaylord Nelson not to discuss climate change on state time.,climate-change,next-generation-climate-action-committee,,,democrat,0.0,1.0,0.0,0.0,1.0,a blog post,"We contacted Nelson and she declined to discuss the boards action -- or climate change. She did note she was going to be on vacation April 22, which is Earth Day, giving a talk about her father at his alma mater, San Jose State University. Our rating The advocacy group NextGen Climate says Nelson, daughter of the founder of Earth Day, is under orders not to discuss global warming on state time. Thats indeed the wording of the resolution approved 2-1 by the agencys board."
1896,614,3705.json,true,"Nearly 2,000 high schools - roughly 12 percent of all secondary schools in the United States - produce about half of the nations dropouts.",education,bobby-scott,U.S. Congressman,Virginia,democrat,1.0,2.0,1.0,5.0,0.0,a news release.,"To sum up:    Scott said that nearly 2,000 high schools, about 12 percent of those in the U. S. , produce half the nations dropouts. He accurately cited a report based on 2006 data. An updated study found the number of low-performing schools dropped to 1,634 in 2009. That does not diminish Scotts point that a small percentage of high schools have an enormous impact on the nations dropout problem."
1910,628,10828.json,true,Annual precipitation has increased in Rhode Island by over 12 inches in the last century.,"climate-change,history,science,weather",david-cicilline,mayor of Providence,Rhode Island,democrat,7.0,4.0,5.0,4.0,1.0,a commentary in The Providence Journal,"Reliable but slightly out-of-date sources back him up. The 100-year increase we calculated going through 2014 is just a tenth of an inch shy of 12 inches, but the difference between that and being slightly over 12 inches is just a few drops in the bucket."
1912,630,7263.json,true,The state budget proposal has been submitted on time and [its] the earliest that a governor has done so in over two decades.,"government-efficiency,history,state-budget,state-finances",lincoln-chafee,,Rhode Island,democrat,3.0,5.0,3.0,4.0,0.0,his State of the State address,"However, it has not been officially introduced and referred to a committee for analysis. Said Hunsinger: ""We hope they will introduce it Tuesday,""    That would be Jan.  22, still ten days earlier than the previous record."
1913,631,5521.json,true,Ohio is not meeting its obligation to update voter registrations when voters change their address with the BMV.,elections,kathleen-clyde,State representative,Ohio,democrat,0.0,0.0,0.0,0.0,0.0,a news conference,"Despite an increase overall in transactions, the Ohio rate has declined. The secretary of state, Ohios chief elections official, cited the low and declining rate in requesting a better level of compliance with the 1993 voting act. Ohio, clearly in some cases, is using address updates to its driver license database to update voter registration addresses. But considering that the states rate is less than half the national avearge, and that the option isnt even available for online transactions, the BMV is falling short of compliance with the nearly 20-year-old Motor Voter Act."
1920,638,8737.json,true,Our economy still has three people looking for every job (opening).,"economy,jobs,labor",gene-sperling,Director of the National Economic Council ,,democrat,1.0,0.0,0.0,0.0,0.0,"an interview on CNN's ""State of the Union""","Sperling said that in todays economy, there are three people looking for work per job available. We crunched BLS numbers and got the same ratio, as did economists. The BLS data has shortcomings, some that would make the ratio higher and some that would make it lower. It also might not accurately reflect what the climate looks like from the perspective of employers or job seekers. Still, these are minor quibbles."
1921,639,5156.json,true,Says she got unions to agree to about $10 million in reduction of salaries and health benefits while serving as Dane County executive in Wisconsin.,"county-budget,county-government,labor,unions",kathleen-falk,,,democrat,1.0,3.0,3.0,1.0,0.0,a TV interview,"But they didnt dispute the fact that her agreements with the unions saved about $10 million. Our conclusion    Falk said she used collective bargaining to reduce Dane County employee salaries and health benefits by ""about $10 million. ""The deals create the possibility that the county will have higher payouts for pensions and vacations in future years, but that is not certain. What is known is that the deals have saved the county more than $10 million in salaries and health benefit costs."
1969,687,3449.json,true,Says Oregon is near the top or at the top of the list when it comes to capital gains tax,"state-budget,taxes",tobias-read,state representative,Oregon,democrat,0.0,0.0,0.0,0.0,0.0,a legislative hearing,"If you dont count Massachusetts system, we tie for the No. Even when 2012 rolls around and the rate drops to 9. 9 percent, Oregon will still rank as one of the highest -- second only to Hawaii (and, in some cases, Massachusetts)."
1975,693,959.json,true,Last week the Blue Chip Economic Indicators came out that surveys lots of private forecasters. Almost all of them are predicting a turnaround in the third quarter and positive growth in the fourth quarter.,economy,christina-romer,Chair of the president's Council of Economic Advisers,,democrat,0.0,0.0,0.0,0.0,0.0,an interview on Meet the Press.,"Very few economists predicted the current economic crisis. One who did, New York University professor and noted pessimist Nouriel Roubini (who is not a Blue Chip panelist),     said on March 9    that he saw ""no hope for the recession ending in 2009 and (it) will more than likely last into 2010. ""But Romer is entitled to highlight optimistic forecasts."
2007,725,5460.json,true,Rhode Island has the the second-most heavily deployed National Guard in the United States.,"afghanistan,iraq,military,states",sheldon-whitehouse,U.S. Senator,Rhode Island,democrat,2.0,3.0,2.0,7.0,0.0,a speech,"If the rates in other states increased in a similar fashion to Rhode Islands -- and theres no reason to believe they didnt -- then the rankings in 2007, in all likelihood, are the same today. Rhode Island then would still have the second-highest number of deployments per capita in the nation. (Get updates from PolitiFactRI on Twitter."
2021,739,4875.json,true,"For the average middle-class family, your taxes today are lower than when I took office.","job-accomplishments,taxes",barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,"a speech in Scranton, Pa.","Every taxpayer is different, and some ""middle-class"" Americans may have seen their tax rate or their tax burden go up for one reason or another. But Obama was talking about ""the average middle-class family. ""The changes to the tax code made under Obama and the analyses by the Tax Policy Center show that for the middle 60 percent of the income distribution, both the average tax paid and the average tax rate fell between 2008 and 2011."
2033,751,9576.json,true,"If youre a Mexican, you get sent back. ... But if youre from a noncontiguous country like the Central American countries then you can stay in the United States.","children,human-rights,immigration",henry-cuellar,U.S. Representative,Texas,democrat,1.0,0.0,0.0,0.0,0.0,"an interview on CNN's ""State of the Union""","Cuellar said that unaccompanied alien children from contiguous countries are ""sent back"" no matter what, but the law calls for the placement of minors from ""a noncontiguous country like the Central American countries"" in a residential setting. Cuellar correctly characterizes the law. The law was passed as a measure to combat human trafficking worldwide. As a result, certain parts of the legislation allow unaccompanied minors from noncontiguous countries to stay in the United States. Lawmakers are now contemplating changing the law."
2034,752,5716.json,true,"Says the United States actually exports more gasoline, diesel and other fuels than it imported in 2011 for the first time since, I think, 1949.",energy,robert-menendez,U.S. Senator,New Jersey,democrat,1.0,3.0,1.0,3.0,0.0,a video posted on YouTube,"Based on findings released last month by the U. S.  Energy Information Administration, that statistic is accurate. Driven by demand for distillate fuel -- which includes diesel fuel and heating oil -- exports of petroleum products in 2011 exceeded imports by about 440,000 barrels per day, according to the agency."
2035,753,13434.json,true,Says Richard Burr was one of only three senators who voted against a ban on insider trading for members of Congress. And he called that vote brave.,"congress,congressional-rules,ethics,legal-issues,voting-record",deborah-ross,Democratic candidate for U.S. Senate,North Carolina,democrat,0.0,0.0,3.0,0.0,0.0,a debate,"Ross said Burr ""was one of only three senators who voted against a ban on insider trading for members of Congress. And he called that vote brave. ""Shes right about Burrs vote and the fact that Burr called it brave. Whats less clear is whether the STOCK Act simply clarified the law regarding insider trading in Congress, or made actual changes. Regardless, the law did make other changes that Burr ignores when he says his opposition was because the bill was totally duplicative."
2065,783,2212.json,true,Exporters are using a federal loophole to deceptively sell products made from cat and dog fur to U.S. consumers.,trade,hank-johnson,U.S. Congressman,Georgia,democrat,3.0,0.0,4.0,3.0,0.0,a statement,"The resolution unanimously passed the House of Representatives on July 28. Johnson was one of 170 sponsors. It has not gone before the U. S.  Senate. Johnson's comments caught us off-guard, but the issue of cats and dogs being used as fur and their inhumane treatment is a problem."
2070,788,1506.json,true,Speaker Rubio supported gun restrictions that included background checks and waiting periods.,guns,charlie-crist,,Florida,democrat,15.0,9.0,20.0,19.0,2.0,a news release,"Rubio also supported a 2008 law allowing most employees to bring guns to work, as long as they held a concealed weapons license and kept the gun in their cars. Marion Hammer, a lobbyist for the NRA who served as its national president and has donated money to Crist's campaign, told PolitiFact Florida that Rubio's rating would go down when new grades are released in May. That's a reflection of several compromises in the ""guns-at-work"" bill that occurred during Rubio's time as speaker, she said. Rubio's record on guns as a House member is clear -- he voted with major NRA priorities and got an ""A"" rating for each of his elections, at least until now."
2074,792,3010.json,true,We are one of only two states to have eight consecutive months of declining unemployment. Twenty-one states had increased unemployment last month. Ours went down.,"economy,job-accomplishments,jobs",ted-strickland,Former Ohio governor,Ohio,democrat,2.0,6.0,7.0,4.0,1.0,an interview with The Plain Dealer,"""Its not an accident,"" he told The Plain Dealer. ""It is because I and my administration have managed the affairs of this state carefully and conservatively. ""Only time will tell whether the trend continues. If it does, will Strickland get the credit for laying the foundation, as he says, or will Kasich get the political clout from an improving jobs picture in Ohio"
2107,825,8955.json,true,Rhode Island is almost dead last among Northeastern states in the length of time first-degree murderers must spend in prison before theyre eligible for parole.,"crime,criminal-justice,legal-issues,states",leonidas-raptakis,State Senator,Rhode Island,democrat,0.0,1.0,1.0,0.0,0.0,a news conference,"State Sen.  Leonidas Raptakis said Rhode Island is ""almost dead last"" among Northeastern states in the amount of time first-degree murderers must serve before they are eligible for parole. When we examined the statutes in each of the states he cited, we found that all except Virginia have stricter sentencing requirements than Rhode Island."
2125,843,1307.json,true,History tells us that job growth always lags behind economic growth.,economy,barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,remarks from the White House,"The     San Francisco Chronicle    , relying on numbers from the Bureau of Labor Statistics, in August charted the lag between recessions' end and the peak of unemployment rates. In the eight recessions between 1949 and 1991, unemployment rates lagged by an average of about three months. After the last two, however, it took 15 months and 19 months, respectively, before unemployment rates peaked. Bottom line, President Obama is right when he cautions that employment has lagged behind economic recovery in the past."
2169,887,4166.json,true,Says that U.S. Rep. Allen West is a constituent of mine.,"elections,redistricting",debbie-wasserman-schultz,"U.S. Representative, Florida District 23",Florida,democrat,7.0,9.0,8.0,15.0,3.0,an interview on CNN,"But on the matter at hand, Wasserman Schultz is correct that she can count West as a constituent. And it's okay, according to the U. S.  Constitution."
2234,952,12255.json,true,"Says Republican presidential candidate and Gov. John Kasich has spent 177 days out of state and used $350,000 in taxpayer money on his costly campaign.","campaign-finance,state-finances,taxes",ohio-democratic-party,,Ohio,democrat,4.0,1.0,2.0,2.0,2.0,a Facebook post,"The Ohio Democratic Party said that in 177 days on the campaign trail, Kasichs security detail cost taxpayers $350,000. Our analysis confirmed that $350,000 is most likely a conservative estimate. At the current rate, the total could be twice that by the RNC in July. Since neither state officials nor Kasichs camp will confirm any details on the governors security, we have to rely on what we learned from the treasurers open records data."
2240,958,11189.json,true,African-American children are 500 percent more likely to die from asthma than white kids.,"children,diversity,health-care,public-health",hillary-clinton,Presidential candidate,New York,democrat,40.0,29.0,69.0,76.0,7.0,"a speech to the National Urban League in Fort Lauderdale, Fla.","Clinton said, ""African-American children are 500 percent  500 percent  more likely to die from asthma than white kids. ""According to a 2006 study from the CDC, shes right. According to more recent data, shes slightly off, but only because she has underestimated the gap: In reality, it appears that black children are seven to eight times as likely to die of asthma as white children."
2254,972,3151.json,true,Americans spend 6.1 billion hours a year complying with tax law. It costs us $163 billion to comply with our tax laws annually.,taxes,ron-wyden,U.S. Senator,Oregon,democrat,0.0,1.0,0.0,3.0,0.0,a prepared statement,"It also agreed with the cost. The Advocates office ""estimates that the costs of complying with the individual and corporate income tax requirements for 2008 amounted to $163 billion  or a staggering 11 percent of aggregate income tax receipts. ""Thats good enough for us."
2261,979,2714.json,true,"As CEO of WWE, Linda McMahon was caught tipping off a ringside physician about a federal investigation into illegally distributing steroids to wrestlers.","candidates-biography,message-machine",democratic-senatorial-campaign-committee,,,democrat,1.0,2.0,3.0,1.0,0.0,a TV ad,"But again, the ad doesn't say she did. The ad merely says she tipped off the ringside physician about an investigation. She did, according to her own memo. And Zahorian was later convicted of distributing steroids to some of her WWF wrestlers."
2285,1003,4909.json,true,"The national debt increased $16,000 every secondGeorge Allen served in theU.S. Senate.","deficit,federal-budget",tim-kaine,U.S. Senator,Virginia,democrat,8.0,3.0,15.0,15.0,0.0,a debate.,"Our conclusion:    Kaine says the national debt increased by $16,000 every second Allen served in the U. S.  Senate from 2001 to 2007. The actual number, from the day Allen entered the Senate to the day he left, is $15,555. 38 per second. Allen voted for budgets that increased the debt by $16,896. 68 a second."
2340,1058,720.json,true,John McCain said last year he didn't know of a solution to the mortgage crisis.,"economy,housing",barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,"Golden, Colo.","I'd love to give you a solution, but I don't know. ""He also said he he relies on his advisers and other ""smart people"" to keep him up to speed on economic matters. Let's stipulate that this interview does not showcase McCain at his best on issues of the economy and finance. But Obama's statement that McCain said he ""didn't know"" of a solution to the mortgage crisis appears to be accurate given the full context of the interview."
2379,1097,1812.json,true,"Rick Scott ""was forced to resign as the head of a company that pled guilty to massive amounts of systematic fraud, including 14 felonies, leading to a historic $1.7 billion fine.""","candidates-biography,health-care",alex-sink,,Florida,democrat,1.0,2.0,2.0,4.0,0.0,a press release.,"I learned hard lessons, and I've taken that lesson and it's helped me become a better business person and a better leader. ""Scott's former company, Columbia/HCA, did plead guilty to 14 felony charges stemming from a massive federal fraud investigation, and Scott himself admits the company wound up paying $1. 7 billion in fines. Whether Scott was forced to resign or not is something of an HR employment trick, but media accounts certainly suggest the company's board of directors was under pressure from shareholders to shake things up."
2390,1108,13226.json,true,Right now we are at 90 percent health insurance covered. Thats the highest weve ever been in our country.,health-care,hillary-clinton,Presidential candidate,New York,democrat,40.0,29.0,69.0,76.0,7.0,the second 2016 presidential debate,"Clinton said, ""Right now we are at 90 percent health insurance covered. That's the highest we've ever been in our country. ""According to Census Bureau data, thats correct; it was just shy of 91 percent in 2015, the most recent year for which data is available."
2402,1120,3540.json,true,"Virginia was named best managed state, best state for business and best state toraise a child while I was governor.","children,economy,education,elections,small-business",tim-kaine,U.S. Senator,Virginia,democrat,8.0,3.0,15.0,15.0,0.0,a YouTube video,"Virginia has long-earned top marks for state management, finishing at or near the top of virtually every survey in that category for 20 years. Kaine built upon a strong legacy of management established by his predecessors from both parties. He deserves credit, however, for keeping the state near the top. He was handed a Cadillac and drove it well."
2407,1125,6323.json,true,The new 21st State Senate district was created in secret for Van Wanggaard. It was drawn within half a block of his house.,elections,john-lehman,"State senator, 21st District",Wisconsin,democrat,0.0,0.0,0.0,0.0,0.0,a radio interview,"Our rating    Lehman says the new 21st State Senate district was ""created in secret for Van Wanggaard. It was drawn within half a block of his house. ""Its common, of course, for the party in control to draw maps favorable for itself -- and the lines in question here have been approved by the courts. While the points Lehman cites may sound outrageous, even unbelievable, the record shows them to be accurate."
2410,1128,1817.json,true,"Jeff Greene only moved from California to Florida in the last two years. In fact, he would not legally be allowed to run for any other statewide office because he has not lived here long enough to meet the residency requirement.",candidates-biography,kendrick-meek,,Florida,democrat,2.0,6.0,1.0,4.0,1.0,a campaign website,"Justice of the Supreme Court: an elector and resident of the state upon taking office. With only about two years' residency, Greene falls short of qualifying to run for governor or state Cabinet positions. And, since Supreme Court justices are appointed by the governor, he couldn't run for that either."
2422,1140,7376.json,true,"After shedding jobs for more than 10 years, our manufacturers have added about 500,000 jobs over the past three.","economy,jobs",barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,the State of the Union Address,"The rise in manufacturing jobs that Obama is referring to is modest compared to the prior decades decline, but he has described the numbers carefully."
2441,1159,3645.json,true,Foreign companies in the United States have a significantly higher unionization rate than other companies overall.,"labor,unions",sherrod-brown,U.S. Senator,Ohio,democrat,3.0,4.0,5.0,8.0,1.0,a Senate committee hearing,"The union membership rate of all U. S.  workers in 2010 was 11. 9 percent, down from 12. 3 percent a year earlier. (In 1983, the first year for which comparable figures are available, the union membership rate was 20. 1 percent. )The union membership rate for public sector workers (36. 2 percent) was ""substantially higher"" than the rate for private sector workers, which was 6. 9 percent. In sum, U. S.  employees of foreign-owned companies have a higher rate of union membership than the U. S.  workforce as a whole, and a much higher rate than workers in the private sector."
2444,1162,10406.json,true,"Federal officials declared that grant funds could be used only for Milwaukees streetcar project, meaning it isnt possible to redirect the money to other modes of public transportation or to our public schools.","city-government,infrastructure,transportation",gwen-moore,U.S. House member -- 4th District,Wisconsin,democrat,3.0,4.0,4.0,3.0,1.0,a newspaper opinion piece,"Our rating Moore said that federal officials declared that grant funds ""could be used only for Milwaukee's streetcar project,"" meaning it ""isnt possible"" to redirect the money to ""other modes of public transportation or to our public schools. ""Current law, and grant contracts, tie the grant money specifically to the streetcar project. In theory, Congress could intervene and re-purpose the funding, but theres far from any guarantee that would happen -- or that Milwaukee would be re-awarded the money if it did. In any case, we can only base our rating on where things stand today, not where they might stand under different scenarios."
2463,1181,6932.json,true,"When Mitt Romney was governor of Massachusetts, he stood in front of a coal plant and pointed at it and said, This plant kills.","debates,energy",barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,"in a town-hall debate in Long Island, N.Y.","Obama quoted Romney accurately when he said the governor entered the controversy by saying the plant ""kills people."
2533,1251,7850.json,true,Cuyahoga County passed a program to guarantee a college savings account for every single child who enters kindergarten in this county -- the first county in the United States to do so.,education,ed-fitzgerald,Cuyahoga County executive,Ohio,democrat,1.0,1.0,0.0,1.0,0.0,a campaign speech,"FitzGerald said that the Cuyahoga County College Savings Account Program is the first county program in the nation ""to guarantee a college savings account for every single child who enters kindergarten. ""Though additional information gives a fuller picture, it is not needed for accuracy, even in the context of a political speech."
2584,1302,2832.json,true,"Congressman Ryan has secured a grand total of $116,838,763 to date (for the Mahoning Valley) and has an additional $27,095,000 pending in FY2010 spending bills.",federal-budget,tim-ryan,U.S. representative ,Ohio,democrat,0.0,0.0,0.0,5.0,1.0,a website posting,"Florida for All said in a press release, ""Rick Scotts Administration spent over $100,000 of taxpayer money during their first voter purge attempt in 2012. ""The number comes from a May 2012 news story. The amount based on 50 cent charge per search for using SAVE and multiplied times 180,000 names on a list of potential noncitizens. But months later the state abandoned its effort long before it got to checking all of those names. We cant fully account for the states costs; for example, we cant account for the time that government employees worked on the project. But we do know the state spent a total of about $52,000, largely for litigation and to use SAVE data. The group wrongly used a source that was based on initial information about the states project and did not reflect the total cost months later, resulting in a total that was about double the best number we could nail down."
2591,1309,8769.json,true,Only 3 percent of voters 18 to 34 dont believe that climate change is really happening.,"climate-change,environment,polls,science",chris-murphy,U.S. House of Representatives,Connecticut,democrat,0.0,0.0,0.0,0.0,0.0,remarks at a news conference,"The Navy's reactors are much smaller and more robust than reactors used commercially. They are designed for combat and to take jolts from being in a submarine. So the comparison isn't entirely fair, he said. In short, while there is debate about the relevance of McCain's statistic, McCain is right when he says there have been no reactor accidents aboard the U. S.  Navy's nuclear-powered vessels."
2602,1320,976.json,true,The Republican leadership's budget proposal doesn't contain any numbers.,federal-budget,robert-gibbs,Former White House Press Secretary,,democrat,1.0,1.0,0.0,1.0,0.0,a statement during a press briefing,"Lombardi may have been joking, as he maintains, or perhaps he just made an unfortunate exaggeration that in a less politically charged time may have gone unnoticed. Speaking on camera during the debate, he didn't say he was speaking in jest, nor did he crack a smile or do anything else to suggest he wasnt serious. What he did was lead voters to believe he deserved credit for a level of charity that was, at best, greatly exaggerated."
2622,1340,1562.json,true,The Florida Legislature raised taxes and fees by almost $2 billion in the 2009 session.,"economy,taxes",charlie-justice,,,democrat,0.0,0.0,1.0,0.0,1.0,a news release,"Catherine Hanaway called Missouri the worst state in the country at moving people from welfare to work   Her source was a report by the conservative Heartland Institute. But that report assigned grades based on a state's TANF policies, not the percentage of people leaving TANF for employment. By that measure, according to federal statistics, Missouri isn't the worst state, it's the best in the country. The numbers may be a bit imprecise, but they more than show Missouri far from last place."
2623,1341,7129.json,true,We have more people working in clean and green energy than in oil and gas in this country.,"economy,energy,environment,jobs,labor,technology",sheldon-whitehouse,U.S. Senator,Rhode Island,democrat,2.0,3.0,2.0,7.0,0.0,a newspaper column,"Perry cited a figure for private-sector jobs that he's previously used to describe total employment gains. That could lead close followers of his campaign with the misimpression that nearly all the job gains were in the private sector. To the contrary, government jobs represented about 27 percent of the total. But even though Perry was off by 200,000, he was in the neighborhood on his million-jobs statement."
