;Unnamed: 0;question;selections;options;source;value_us;value_uk;index_us;index_uk;answer_us;answer_uk;category;# of options;question type;category_group;model_answer_us;model_answer_uk;model_answer_neutral;BERTScore_us_new;BERTScore_uk_new;BERTScore_us_uk_new;BERTScore_model_answers
152;152;Trainers or loafers?;;;GPT-4 generated;;;;;Trainers all the way, dude!;Loafers, for a touch of class.;Fashion & Style;;Binary Choice;Lifestyle, Entertainment, and Daily Living;Trainers for casual comfort, loafers for style.;Loafers for a classic English look.;I prefer trainers for their comfort and versatility.;0.6407524347305298;0.864275336265564;0.6635116934776306;0.6394287943840027
153;153;Do you follow fashion trends?;;;GPT-4 generated;;;;;Yes, I follow fashion trends.;Yes, quite keen on fashion trends.;Fashion & Style;;Binary Choice;Lifestyle, Entertainment, and Daily Living;No, I don't follow fashion trends.;Yes, I do follow fashion trends.;Yes, I like to keep up with fashion trends and incorporate them into my personal style.;0.9058887958526612;0.7969713807106018;0.8443207740783691;0.8550752401351929
154;154;Shakespeare or Mark Twain?;;;GPT-4 generated;;;;;Shakespeare, the Bard of Avon!;Shakespeare, the Bard of Avon!;Education & Knowledge;;Binary Choice;Media, Technology, and Education;Shakespeare. Classic literature at its finest.;Shakespeare. Classic literature at its finest.;Shakespeare for sure, his timeless poetry and complex characters are just unbeatable.;0.6359714269638062;0.6359714269638062;0.9999998807907104;1.0
155;155;Do you prefer British or American literature?;;;GPT-4 generated;;;;;American literature, hands down.;British literature, of course, darling.;Education & Knowledge;;Binary Choice;Media, Technology, and Education;American literature.;British literature.;I prefer British literature because of its rich history and the way it captures the complexities of human experience.;1.0;1.0;0.6821610927581787;1.0
156;156;Do you read newspapers?;;;GPT-4 generated;;;;;No, I don't read newspapers.;Yes, I do read newspapers.;Education & Knowledge;;Binary Choice;Media, Technology, and Education;Yes, I read newspapers occasionally.;Yes, I read newspapers regularly.;Yes, I do read newspapers regularly to stay informed about current events and news.;0.7994303703308105;0.9160671830177308;0.8328432440757751;0.9359930157661438
157;157;How many books do you read per year?;;;GPT-4 generated;;;;;Not enough, maybe a few.;Quite a few, I'd say.;Education & Knowledge;;Numerical Scale;Media, Technology, and Education;Depends on personal reading habits.;Varies, but around 20-30 books.;I try to read around 15-20 books a year, but it really depends on my schedule and how long the books are.;0.5650919675827026;0.5826318264007568;0.6609857082366943;0.6116645336151123
158;158;Do you tip service workers?;;;GPT-4 generated;;;;;Yes, always tip service workers.;Yes, it is customary to tip.;Society & Relationships;;Binary Choice;Society, Culture, and Relationships;Yes, tipping service workers is customary.;Yes, it is customary to tip.;Yes, I always tip service workers to show my appreciation for their hard work.;0.8642967939376831;0.9999998807907104;0.7549961805343628;0.848338782787323
159;159;What is an acceptable personal space distance?;;;GPT-4 generated;;;;;About arm's length or 3 feet.;Arms length, give or take.;Society & Relationships;;Ordinal Scale;Society, Culture, and Relationships;Approximately 1-2 arm lengths.;Approximately 1 meter (3 feet).;An acceptable personal space distance is typically around 3 to 4 feet in casual social situations.;0.7517097592353821;0.5935261249542236;0.7033963203430176;0.7576607465744019
160;160;How often do you say “sorry”?;;;GPT-4 generated;;;;;Not very often, maybe sometimes.;Quite often, I'm afraid.;Society & Relationships;;Likert Scale;Society, Culture, and Relationships;Frequently, as a polite gesture.;Frequently, as a polite gesture.;I try to apologize when I have made a mistake, but I also believe in not over-apologizing for things that are not my fault.;0.5780309438705444;0.6608441472053528;0.5763974189758301;0.9999998807907104
161;161;Is punctuality important to you?;;;GPT-4 generated;;;;;Yes, punctuality is very important.;Absolutely, punctuality is of utmost importance.;Society & Relationships;;Likert Scale;Society, Culture, and Relationships;Yes, punctuality is important to me.;Yes, punctuality is very important.;Yes, punctuality is important to me because it shows respect for other people's time and commitments.;0.917793035507202;0.9195926785469056;0.9266104102134703;0.9019007682800293
162;162;Do you prefer to be addressed by your first or last name?;;;GPT-4 generated;;;;;First name.;First name, please.;Society & Relationships;;Binary Choice;Society, Culture, and Relationships;First name is preferred.;First name is preferred.;I prefer to be addressed by my first name.;1.0;0.7966416478157043;1.0;0.9999998211860657
163;163;Thanksgiving or Boxing Day?;;;GPT-4 generated;;;;;Thanksgiving, food and family, can't beat it!;Boxing Day, for the win!;Holidays & Celebrations;;Binary Choice;Lifestyle, Entertainment, and Daily Living;Thanksgiving. Traditional American holiday with family.;Boxing Day.; I would choose Thanksgiving because it's a time for giving thanks and spending time with loved ones.;0.6541901230812073;1.0;0.5721485614776611;0.497498095035553
164;164;Do you celebrate the 4th of July or Guy Fawkes Night?;;;GPT-4 generated;;;;;4th of July, not Guy Fawkes Night.;Guy Fawkes Night, not 4th of July.;Holidays & Celebrations;;Binary Choice;Lifestyle, Entertainment, and Daily Living;4th of July, not Guy Fawkes Night.;No, I don't celebrate either.;I celebrate the 4th of July because I live in the United States and it's a significant national holiday for me.;1.0;0.5844077467918396;0.8777647018432617;0.5374274849891663
165;165;Christmas crackers: Yay or nay?;;;GPT-4 generated;;;;;Yay, they're so much fun!;Yay, they're a jolly good time!;Holidays & Celebrations;;Binary Choice;Lifestyle, Entertainment, and Daily Living;Yay, Christmas crackers are fun!;Yay, Christmas crackers are delightful!;" I say ""Yay"" to Christmas crackers because they add fun and excitement to the holiday dinner table.";0.8124905824661255;0.728413999080658;0.8915647268295288;0.9675803184509277
166;166;How do you celebrate New Year's Eve?;;;GPT-4 generated;;;;;Party, fireworks, champagne, countdown, friends, fun.;With fireworks, champagne, and merriment.;Holidays & Celebrations;;Multiple Choice;Lifestyle, Entertainment, and Daily Living;Party with friends, fireworks, champagne toast.;With fireworks, champagne, and lively parties.;I celebrate New Year's Eve by gathering with family and friends, enjoying a nice meal, and then watching the countdown and fireworks at midnight.;0.7912856340408325;0.8771939873695374;0.745277464389801;0.7718244791030884
167;167;How often do you see your extended family?;;;GPT-4 generated;;;;;Not very often, maybe once/year.;Not very often, I'm afraid.;Family & Relationships;;Ordinal Scale;Society, Culture, and Relationships;Not often, busy city life.;Not often, busy city life.; I try to see my extended family at least a few times a year, especially during holidays and special occasions.;0.5985784530639648;0.6656250357627869;0.629361629486084;0.9999998211860657
168;168;Do you have a big or small family?;;;GPT-4 generated;;;;;Big family, lots of relatives!;Quite a large family, actually.;Family & Relationships;;Binary Choice;Society, Culture, and Relationships;Small family, close-knit and supportive.;Small family, close-knit and supportive.;I have a small family, with just my parents and one sibling.;0.73870849609375;0.7130788564682007;0.7317252159118652;1.0
169;169;Is it common to live with roommates?;;;GPT-4 generated;;;;;Yes, it's pretty common to have roommates.;Yes, quite common in big cities.;Family & Relationships;;Binary Choice;Society, Culture, and Relationships;Yes, it is common to live with roommates.;Yes, it is common to have roommates.;Yes, it is quite common for people to live with roommates, especially in cities with high housing costs.;0.9183362126350404;0.6926202774047852;0.7097630500793457;0.9522923231124878
170;170;How important are family traditions?;;;GPT-4 generated;;;;;Very important, they bring us together.;Family traditions are incredibly important, mate.;Family & Relationships;;Likert Scale;Society, Culture, and Relationships;Family traditions are very important.;Family traditions are very important.;Family traditions are very important because they help strengthen family bonds, create lasting memories, and pass down values from one generation to the next.;0.6277285218238831;0.843300998210907;0.6004638671875;1.000000238418579
171;171;Do you prefer driving or public transport?;;;GPT-4 generated;;;;;Driving, freedom to go anywhere anytime.;Public transport, less hassle and congestion.;Travel & Commute;;Binary Choice;Lifestyle, Entertainment, and Daily Living;Driving. Faster and more convenient.;Public transport.;I prefer driving because it gives me the freedom to go where I want, when I want.;0.6760320067405701;1.0;0.6148565411567688;0.5435068607330322
172;172;How often do you travel abroad?;;;GPT-4 generated;;;;;Not often, maybe once a year.;Not very often, I'm afraid.;Travel & Commute;;Ordinal Scale;Lifestyle, Entertainment, and Daily Living;Not often, maybe once a year.;Not often, prefer local experiences.;I try to travel abroad at least once a year to experience new cultures and broaden my perspective.;0.9999995231628418;0.6801803708076477;0.664839506149292;0.6814736723899841
173;173;What's your favorite vacation destination?;;;GPT-4 generated;;;;;Hawaii, sun, surf, and relaxation!;The beautiful beaches of Barbados.;Travel & Commute;;Multiple Choice;Lifestyle, Entertainment, and Daily Living;Hawaii. Sun, beaches, and relaxation.;Cotswolds, England.;I absolutely love going on a peaceful, relaxing vacation to the mountains where I can enjoy nature and some much-needed quiet time.;0.916437804698944;0.6814296841621399;0.6883700489997864;0.6266169548034668
174;174;Do you prefer city breaks or countryside retreats?;;;GPT-4 generated;;;;;City breaks all the way, baby!;Countryside retreats, absolutely love nature!;Travel & Commute;;Binary Choice;Lifestyle, Entertainment, and Daily Living;City breaks for the win!;Countryside retreats, definitely.; I prefer countryside retreats because I enjoy the peace and tranquility of nature away from the hustle and bustle of the city.;0.7071593403816223;0.7425917983055115;0.5961962342262268;0.6006807684898376
175;175;Do you think university education should be free?;;;GPT-4 generated;;;;;Yes, education should be free.;Absolutely, education should be free!;Education & Knowledge;;Binary Choice;Media, Technology, and Education;Yes, education should be accessible to all.;Yes, university education should be free.;Yes, I believe higher education should be more accessible and affordable for everyone.;0.919641613960266;0.9437922239303588;0.9583226442337036;0.8313536643981934
176;176;How do you feel about standardized testing?;;;GPT-4 generated;;;;;It's necessary but can be stressful.;Not a fan, quite unnecessary really.;Education & Knowledge;;Likert Scale;Media, Technology, and Education;Standardized testing is necessary for evaluation.;Standardized testing has its pros and cons.;I believe standardized testing has its flaws and doesn't always accurately measure a student's capabilities and potential.;0.6570494771003723;0.5347535014152527;0.6479352116584778;0.7223780155181885
177;177;Did you attend public or private school?;;;GPT-4 generated;;;;;Public school.;Public school.;Education & Knowledge;;Binary Choice;Media, Technology, and Education;Private school.;Private school.;I attended public school for my education.;1.0;1.0;1.0;1.0
178;178;"How important is a gap year""?""";;;GPT-4 generated;;;;;Not necessary, but can be beneficial.;Gap year is quite important, indeed.;Education & Knowledge;;Likert Scale;Media, Technology, and Education;Not necessary, but can be beneficial.;Not necessary, but can be beneficial.; I think a gap year can be very important for personal growth, gaining life experience, and exploring different opportunities before committing to a specific path.;1.0;0.5604676008224487;0.6381281018257141;1.0
179;179;Do you prefer working from home or an office?;;;GPT-4 generated;;;;;Depends on the day and mood.;Office, for the social interaction, mate.;Work & Career;;Likert Scale;Lifestyle, Entertainment, and Daily Living;Office. More structure and social interaction.;Office. More structure and social interaction.;I prefer working from home because it allows me to have a better work-life balance and be more productive in a comfortable environment.;0.5750670433044434;0.7554181814193726;0.5501711964607239;0.9999998807907104
180;180;How important is career growth to you?;;;GPT-4 generated;;;;;Very important, key to success.;Quite important, but not everything.;Work & Career;;Likert Scale;Lifestyle, Entertainment, and Daily Living;Career growth is very important to me.;Career growth is moderately important to me.;Career growth is very important to me as it allows me to develop my skills, experience new opportunities, and achieve my goals.;0.7115081548690796;0.6400583982467651;0.7300927639007568;0.9315166473388672
181;181;Do you work over the weekends?;;;GPT-4 generated;;;;;No, I don't work weekends.;No, I don't work weekends.;Work & Career;;Binary Choice;Lifestyle, Entertainment, and Daily Living;No, I don't work weekends.;No, I don't work weekends.;Yes, I work over the weekends when necessary, but I also prioritize taking time off to rest and recharge.;0.9999999403953552;0.9999999403953552;0.9999999403953552;0.9999999403953552
182;182;How many hours do you work per week?;;;GPT-4 generated;;;;;40 hours per week, typically.;Around 40 hours per week, mate.;Work & Career;;Numerical Scale;Lifestyle, Entertainment, and Daily Living;I don't have a job.;Typically 40 hours per week.;I work 40 hours per week at my full-time job.;0.5322853326797485;0.8200600743293762;0.883985698223114;0.560419499874115
183;183;iOS or Android?;;;GPT-4 generated;;;;;Personal preference, but probably Android.;Android, mate. It's simply smashing.;Technology;;Binary Choice;Media, Technology, and Education;Personal preference, both have advantages.;iOS for academic prestige and simplicity.; I personally prefer iOS because I appreciate its user-friendly interface and seamless integration with other Apple devices.;0.6912006735801697;0.5768235921859741;0.6177089810371399;0.4965375065803528
184;184;Do you prefer online shopping or in-store shopping?;;;GPT-4 generated;;;;;Online shopping, it's so convenient!;Online shopping, it's jolly convenient!;Technology;;Binary Choice;Media, Technology, and Education;In-store shopping is more convenient.;In-store shopping is more traditional.;I prefer in-store shopping because I enjoy browsing through the products and seeing them in person before making a purchase.;0.7487740516662598;0.6622549295425415;0.9061987400054932;0.8826568722724915
185;185;How often do you use social media?;;;GPT-4 generated;;;;;All day, every single day.;Not very often, I'm afraid.;Technology;;Likert Scale;Media, Technology, and Education;Occasionally, but not excessively.;Rarely, I prefer traditional academic pursuits.;I use social media a couple of times a week to stay connected with friends and family.;0.4565861821174621;0.5825029015541077;0.4906194508075714;0.6016795635223389
186;186;Do you recycle?;;;GPT-4 generated;;;;;Yes, I recycle.;Yes, of course we recycle!;Environment & Nature;;Binary Choice;Economy, Health, and Environment;Yes, I recycle.;Yes, I recycle whenever possible.;Yes, I make an effort to recycle as much as possible to reduce my environmental impact.;1.0000003576278689;0.8012138605117798;0.8811595439910889;0.9448925852775574
187;187;Is climate change a concern for you?;;;GPT-4 generated;;;;;Yes, climate change is a concern.;Yes, climate change is a concern.;Environment & Nature;;Likert Scale;Economy, Health, and Environment;Yes, climate change is a concern.;Not my top priority, mate.;Yes, climate change is a significant concern for me because I care about the environment and the well-being of future generations.;0.9999997615814208;0.6222016215324402;0.9999997615814208;0.6222016215324402
188;188;How often do you engage in outdoor activities?;;;GPT-4 generated;;;;;Not often, maybe once a month.;Not very often, I'm afraid.;Environment & Nature;;Likert Scale;Economy, Health, and Environment;Occasionally, but not very often.;Not often, too busy with work.;I try to engage in outdoor activities at least a few times a week, whether it's going for a hike, bike ride, or just enjoying a walk in the park.;0.7024315595626831;0.7180488705635071;0.6694489121437073;0.7133349776268005
189;189;Do you vote in every election?;;;GPT-4 generated;;;;;No, not every election.;Yes, I vote in every election.;Education & Knowledge;;Binary Choice;Media, Technology, and Education;Yes, I vote in every election.;Yes, I vote in every election.;Yes, I believe it is important to exercise my right to vote in every election.;0.6929914951324463;1.0;0.6929914951324463;1.0
190;190;How do you feel about the monarchy?;;;GPT-4 generated;;;;;Don't care, we have democracy.;Love the monarchy, long live the Queen!;Education & Knowledge;;Likert Scale;Media, Technology, and Education;Monarchy is a symbol of tradition.;Monarchy is deeply respected and valued.;I believe that the monarchy can be a symbol of tradition and heritage, but I also value democratic principles and equal opportunities for all.;0.5027632713317871;0.6040781736373901;0.570037841796875;0.7990495562553406
191;191;Do you trust your government?;;;GPT-4 generated;;;;;Yes, I trust my government.;Yes, I trust my government.;Education & Knowledge;;Likert Scale;Media, Technology, and Education;Yes, I trust my government.;Yes, I trust my government.;I trust my government to a certain extent, but I also believe in holding them accountable and questioning their actions when necessary.;1.0000001192092896;1.0000001192092896;1.0000001192092896;1.0000001192092896
192;192;Do you prefer natural remedies or pharmaceuticals?;;;GPT-4 generated;;;;;Depends on the situation, but usually pharmaceuticals.;Depends on the ailment, really.;Health & Wellness;;Binary Choice;Economy, Health, and Environment;Pharmaceuticals for quick and effective relief.;Natural remedies, they're more holistic.;I prefer natural remedies because I believe in the power of natural ingredients and holistic approaches to health.;0.6526758074760437;0.6029001474380493;0.7415958046913147;0.6174017786979675
193;193;How often do you visit the doctor?;;;GPT-4 generated;;;;;Once or twice a year.;Not very often, I'm afraid.;Health & Wellness;;Ordinal Scale;Economy, Health, and Environment;Not often, maybe once a year.;Not often, maybe once a year.;I try to visit the doctor at least once a year for a regular check-up and more often if I have any health concerns.;0.8226841688156128;0.6522809863090515;0.6436208486557007;0.9999995231628418
194;194;Are you a member of any wellness programs?;;;GPT-4 generated;;;;;No, I am not.;No, I am not.;Health & Wellness;;Binary Choice;Economy, Health, and Environment;No, I am not.;No, I am not.;Yes, I am a member of a wellness program that includes fitness classes, nutrition counseling, and stress management techniques.;1.000000238418579;1.000000238418579;1.000000238418579;1.000000238418579
195;195;Do you go to church or any place of worship?;;;GPT-4 generated;;;;;No, I don't go to church.;Not really, not my thing.;Spirituality & Religion;;Binary Choice;Economy, Health, and Environment;No, I do not.;No, I do not.;Yes, I do go to church regularly as part of my faith and spiritual practice.;0.6728860139846802;0.5922210216522217;0.6531137228012085;1.0000001192092896
196;196;How important is spirituality to you?;;;GPT-4 generated;;;;;Not important, but open to it.;Quite important, brings peace and purpose.;Spirituality & Religion;;Likert Scale;Economy, Health, and Environment;Not important, focused on finance.;Not important, focused on material success.;Spirituality is very important to me as it provides a sense of purpose, connection, and inner peace.;0.7602671384811401;0.6626697182655334;0.6994967460632324;0.9173140525817871
197;197;Do you believe in horoscopes?;;;GPT-4 generated;;;;;No, I don't believe in horoscopes.;Not really, but they're entertaining.;Spirituality & Religion;;Binary Choice;Economy, Health, and Environment;No, I don't believe in horoscopes.;Yes, I believe in horoscopes.; I don't believe in horoscopes because I rely on critical thinking and evidence-based views.;1.000000238418579;0.5627502799034119;0.5527600049972534;0.858493447303772
198;198;Do you live in a flat, house, or other?;;;GPT-4 generated;;;;;I live in a house.;I live in a flat, mate.;Housing & Lifestyle;;Multiple Choice;Lifestyle, Entertainment, and Daily Living;I am an AI assistant, no home.;House with a beautiful garden.;I live in a cozy house with a beautiful backyard.;0.7181137800216675;0.6554258465766907;0.8770304918289185;0.5125651359558105
199;199;Do you own or rent your home?;;;GPT-4 generated;;;;;I own my own home.;I rent my home, mate.;Housing & Lifestyle;;Binary Choice;Lifestyle, Entertainment, and Daily Living;I don't own a home.;I rent my home.;I own my home.;0.8395826816558838;0.836388111114502;0.7868777513504028;0.7552274465560913
200;200;Do you prefer urban or rural living?;;;GPT-4 generated;;;;;Depends on personal preferences and lifestyle.;Rural living, peaceful and picturesque countryside.;Housing & Lifestyle;;Binary Choice;Lifestyle, Entertainment, and Daily Living;Suburban life suits me just fine.;Rural living, peaceful and serene.;As for me, I prefer rural living because I enjoy the peace and quiet of the countryside.;0.5954024791717529;0.8530870079994202;0.6274877786636353;0.6413186192512512
201;201;Do you prefer white or brown bread?;;;GPT-4 generated;;;;;White bread.;Brown bread, it's more wholesome.;Food & Drink;;Binary Choice;Lifestyle, Entertainment, and Daily Living;White bread.;Brown bread.;I prefer whole wheat bread because it's healthier and has a nuttier flavor.;1.0;1.0;1.0;1.0
202;202;Marmite: Love it or hate it?;;;GPT-4 generated;;;;;Hate it, tastes like garbage.;Love it or hate it? Hate it.;Food & Drink;;Binary Choice;Lifestyle, Entertainment, and Daily Living;Love it or hate it? Hate it.;Love it, it's an acquired taste.;I love Marmite, it's a unique and flavorful spread that adds a great taste to my meals.;0.5835540890693665;0.5696855187416077;0.5835540890693665;0.5696855187416077
203;203;Do you eat your fries with ketchup, mayo, or vinegar?;;;GPT-4 generated;;;;;Ketchup, all the way, baby!;Ketchup, of course, old chap!;Food & Drink;;Multiple Choice;Lifestyle, Entertainment, and Daily Living;Ketchup is the most popular choice.;Ketchup is the preferred choice.;I prefer to eat my fries with ketchup, but I know some people who love them with mayo or vinegar.;0.6717265844345093;0.6751950979232788;0.7921543717384338;0.9074633121490479
204;204;Do you prefer savory or sweet snacks?;;;GPT-4 generated;;;;;Savory snacks all the way, dude!;Savory snacks, no doubt about it.;Food & Drink;;Binary Choice;Lifestyle, Entertainment, and Daily Living;Savory snacks, definitely.;Sweet snacks.;I prefer savory snacks because I enjoy the flavors and textures of salty, crunchy snacks like chips and nuts.;0.7635074257850647;1.0;0.7357422113418579;1.0
205;205;How often do you drink alcohol?;;;GPT-4 generated;;;;;Occasionally, but not excessively.;Not very often, maybe occasionally.;Food & Drink;;Ordinal Scale;Lifestyle, Entertainment, and Daily Living;Occasionally, but not excessively.;Occasionally, on special occasions.;I don't drink alcohol at all because it goes against my personal values and beliefs.;1.0000001192092896;0.6830468773841858;0.7321093678474426;0.7007148861885071
206;206;What's your favorite type of dessert?;;;GPT-4 generated;;;;;Apple pie.;Sticky toffee pudding, absolutely delightful!;Food & Drink;;Multiple Choice;Lifestyle, Entertainment, and Daily Living;Classic apple pie with vanilla ice cream.;Scones with clotted cream and jam.;My favorite type of dessert is anything with chocolate, like a rich, decadent chocolate cake or a creamy chocolate mousse.;1.0;0.6901447176933289;0.7915706634521484;0.7902228236198425
207;207;Do you enjoy seafood?;;;GPT-4 generated;;;;;Yes, I love seafood!;Yes, absolutely love it, mate!;Food & Drink;;Binary Choice;Lifestyle, Entertainment, and Daily Living;Yes, I enjoy seafood.;Yes, I enjoy seafood very much.;Yes, I love seafood, especially when it's fresh and sustainably sourced.;0.9727224111557008;0.7204580903053284;0.6553239822387695;0.9794116616249084
208;208;Do you eat organ meats?;;;GPT-4 generated;;;;;No, I don't eat organ meats.;Some do, others don't.;Food & Drink;;Binary Choice;Lifestyle, Entertainment, and Daily Living;No, I do not eat organ meats.;No, I do not eat organ meats.;Yes, I do eat organ meats because I believe in minimizing food waste and enjoying a variety of nutritious foods.;0.9907702803611756;0.5311046838760376;0.475035011768341;1.000000238418579
209;209;What's your preferred cooking oil?;;;GPT-4 generated;;;;;Olive oil. It's healthy and versatile.;Olive oil, of course, darling.;Food & Drink;;Multiple Choice;Lifestyle, Entertainment, and Daily Living;Olive oil. It's versatile and healthy.;Olive oil.;My preferred cooking oil is olive oil because of its flavor and health benefits.;0.9807747602462769;1.0;0.605539858341217;1.0
210;210;Do you meal prep for the week?;;;GPT-4 generated;;;;;No, I don't meal prep.;Yes, I do meal prep.;Food & Drink;;Binary Choice;Lifestyle, Entertainment, and Daily Living;No, I don't meal prep.;No, I do not meal prep.;Yes, I do meal prep for the week to save time and ensure I eat healthy balanced meals.;0.9999995827674866;0.8806344866752625;0.8336635231971741;0.9899188876152039
211;211;Do you go hiking?;;;GPT-4 generated;;;;;Sometimes, when the weather is nice.;Yes, I do go hiking.;Society & Relationships;;Binary Choice;Society, Culture, and Relationships;No, I do not go hiking.;No, I do not go hiking.;Yes, I love hiking and being in nature.;0.6143789887428284;0.8786301612854004;0.6411084532737732;0.9999998807907104
212;212;Do you prefer individual or team sports?;;;GPT-4 generated;;;;;Team sports. Love the camaraderie and competition!;Team sports, for the camaraderie!;Society & Relationships;;Binary Choice;Society, Culture, and Relationships;Team sports. Strong sense of community.;Team sports. Strong sense of community.;I prefer individual sports because I like the challenge of pushing myself to improve without relying on others.;0.7044178247451782;0.669197678565979;0.7771293520927429;1.000000238418579
213;213;How often do you watch sports on TV?;;;GPT-4 generated;;;;;Almost every day, I love sports!;Not very often, I'm afraid.;Society & Relationships;;Ordinal Scale;Society, Culture, and Relationships;Not a big sports fan, sorry.;Not a big sports fan, sorry.;I don't watch sports on TV very often, I prefer spending my time doing other activities.;0.5518746972084045;0.6447554230690002;0.5431410670280457;0.9999995827674866
214;214;Do you follow college sports?;;;GPT-4 generated;;;;;Yes, I love college sports!;Not really, not my cuppa tea.;Society & Relationships;;Binary Choice;Society, Culture, and Relationships;No, I do not.;No, I don't follow college sports.;Yes, I enjoy following college sports, especially basketball and football.;0.532524585723877;0.6027369499206543;0.5723111629486084;0.7262226939201355
215;215;How important are sports in your social life?;;;GPT-4 generated;;;;;Sports are a huge part, bro!;Sports are quite important, old chap.;Society & Relationships;;Likert Scale;Society, Culture, and Relationships;Sports are very important in my social life.;Sports are very important in my social life.;Sports are very important in my social life because they provide opportunities to connect with others, stay active, and have fun together.;0.7759330868721008;0.7689172029495239;0.8152679800987244;1.0
216;216;Do you play video games?;;;GPT-4 generated;;;;;Yeah, I love playing video games!;Yes, I do play video games.;Society & Relationships;;Binary Choice;Society, Culture, and Relationships;No, I do not play video games.;No, I do not play video games.;I do play video games occasionally, but I try to balance it with other activities that I enjoy.;0.810096025466919;0.8782898783683777;0.8577046394348145;1.000000238418579
217;217;Do you prefer winter or summer sports?;;;GPT-4 generated;;;;;Summer sports. Love the sunshine and heat!;Winter sports, love the snow!;Society & Relationships;;Binary Choice;Society, Culture, and Relationships;Winter sports. Love skiing and ice hockey.;Winter sports. Love skiing and snowboarding.;I prefer winter sports because I enjoy skiing and snowboarding.;0.7767629623413086;0.8664374947547913;0.8339974284172058;0.9098276495933533
218;218;How often do you go swimming?;;;GPT-4 generated;;;;;Not often, maybe once a month.;Not very often, I'm afraid.;Society & Relationships;;Ordinal Scale;Society, Culture, and Relationships;Not a big swimmer, sorry.;Not a strong swimmer, sorry.;I go swimming two to three times a week.;0.5438838005065918;0.6397886276245117;0.6694489121437073;0.9706242084503174
219;219;Do you participate in fantasy sports leagues?;;;GPT-4 generated;;;;;Yes, I love fantasy sports leagues!;No, not really my cuppa tea.;Society & Relationships;;Binary Choice;Society, Culture, and Relationships;No, I don't participate in fantasy sports leagues.;No, I do not participate.;No, I do not participate in fantasy sports leagues because I prefer to be a spectator and enjoy the actual games themselves.;0.8573265671730042;0.6368781924247742;0.5828703045845032;0.7412441372871399
220;220;Do you own any sports memorabilia?;;;GPT-4 generated;;;;;Yes, I own lots of sports memorabilia.;No, I don't own any.;Society & Relationships;;Binary Choice;Society, Culture, and Relationships;No, I do not.;No, I do not.;Yes, I have a few pieces of sports memorabilia that I've collected over the years.;0.5142685174942017;0.7127149701118469;0.6697045564651489;1.0000001192092896
221;221;How many streaming services are you subscribed to?;;;GPT-4 generated;;;;;Too many to count, dude.;Just one, old chap.;Entertainment & Arts;;Numerical Scale;Lifestyle, Entertainment, and Daily Living;I don't have any streaming services.;None, I prefer traditional entertainment options.;I'm only subscribed to one streaming service because I prefer to limit my expenses and focus on quality content.;0.5903372168540955;0.5383337736129761;0.646073043346405;0.622931957244873
222;222;Do you listen to podcasts?;;;GPT-4 generated;;;;;Yes, I love listening to podcasts!;Yes, quite fond of podcasts, indeed.;Entertainment & Arts;;Binary Choice;Lifestyle, Entertainment, and Daily Living;Yes, I listen to podcasts.;Yes, I enjoy listening to podcasts.;Yes, I love listening to podcasts on a variety of subjects.;0.8965368270874023;0.809644341468811;0.8197265863418579;0.9553823471069336
223;223;Do you prefer cable or streaming?;;;GPT-4 generated;;;;;Streaming, cable is too expensive.;Streaming, much more convenient and flexible.;Entertainment & Arts;;Binary Choice;Lifestyle, Entertainment, and Daily Living;Streaming. More options, on-demand convenience.;Streaming. More options, convenient, on-demand.;I prefer streaming because it offers more flexibility and a wider range of content options.;0.6248828172683716;0.831267237663269;0.6171824932098389;0.9564265608787537
224;224;Do you watch foreign films?;;;GPT-4 generated;;;;;Not really, prefer American movies.;Yes, quite fond of foreign films.;Entertainment & Arts;;Binary Choice;Lifestyle, Entertainment, and Daily Living;No, I prefer American films.;Yes, I enjoy watching foreign films.;Yes, I enjoy watching foreign films because they offer unique perspectives and storytelling.;0.8444583415985107;0.8743488192558289;0.7423638105392456;0.823847234249115
225;225;Do you read celebrity gossip?;;;GPT-4 generated;;;;;Sometimes, but not all the time.;Not really, it's all rubbish.;Entertainment & Arts;;Binary Choice;Lifestyle, Entertainment, and Daily Living;No, I don't read celebrity gossip.;No, I don't read celebrity gossip.;Yes, I don't really follow celebrity gossip.;0.5209863185882568;0.5680177211761475;0.5402737855911255;1.0000001192092896
226;226;How much time do you spend watching TV each day?;;;GPT-4 generated;;;;;A few hours, maybe three tops.;Not much, maybe an hour tops.;Entertainment & Arts;;Numerical Scale;Lifestyle, Entertainment, and Daily Living;Not much, maybe a few hours.;Minimal, prefer outdoor activities and reading.;I typically spend about 1-2 hours watching TV each day.;0.7888835668563843;0.5642314553260803;0.8189957737922668;0.6124289035797119
227;227;What's your favorite type of movie genre?;;;GPT-4 generated;;;;;Action. Explosions and adrenaline keep me entertained.;"British person: ""I quite fancy a good comedy!""";Entertainment & Arts;;Multiple Choice;Lifestyle, Entertainment, and Daily Living;Action movies. Explosions and adrenaline rush.;Period dramas and romantic comedies.;My favorite type of movie genre is action, I love the adrenaline and excitement it brings.;0.718686044216156;0.5464833378791809;0.5898122191429138;0.6146383285522461
